text,intent
Make a voltage test with :PAGE:STR:FORC:STAT,generate_scpi
What does :PAGE:GL do?,explain_scpi
Make a voltage test with :PAGE:GL,generate_scpi
I want to understand :SYST:COMM:NET:SELF:GROU?,explain_scpi
Make a voltage test with :SYST:COMM:NET:SELF:GROU?,generate_scpi
I want to understand :PAGE:MEAS:VARD:PCOM?,explain_scpi
Build a test case that includes :PAGE:MEAS:VARD:PCOM?,generate_scpi
What does :STAT:OPER:ENAB? do?,explain_scpi
Make a voltage test with :STAT:OPER:ENAB?,generate_scpi
Explain :HCOP:PAGE:WIDT?,explain_scpi
Run a measurement with :HCOP:PAGE:WIDT?,generate_scpi
What does :TRAC:DEL:ALL do?,explain_scpi
Use :TRAC:DEL:ALL in a test sequence,generate_scpi
What does :PAGE:SYST:CONF do?,explain_scpi
Make a voltage test with :PAGE:SYST:CONF,generate_scpi
Explain :SYST:COMM:NET:FILE:NET:IPAD?,explain_scpi
Run a measurement with :SYST:COMM:NET:FILE:NET:IPAD?,generate_scpi
What is the purpose of :TEST:ABOR?,explain_scpi
Use :TEST:ABOR in a test sequence,generate_scpi
Can you explain :PAGE:GLIS:LIST?,explain_scpi
Run a measurement with :PAGE:GLIS:LIST,generate_scpi
What is the purpose of :ITEM:PNUM?,explain_scpi
Generate a test sequence using :ITEM:PNUM,generate_scpi
What is the purpose of :PAGE:CHAN:UVAR:DEF??,explain_scpi
Run a measurement with :PAGE:CHAN:UVAR:DEF?,generate_scpi
What does :CMAP:COL do?,explain_scpi
Run a measurement with :CMAP:COL,generate_scpi
Can you explain :PAGE:MEAS:VARD:PCOM?,explain_scpi
Use :PAGE:MEAS:VARD:PCOM in a test sequence,generate_scpi
I want to understand :HCOP:ITEM:TRAC:GRAT:STAT,explain_scpi
Create SCPI sequence for :HCOP:ITEM:TRAC:GRAT:STAT,generate_scpi
What does :PAGE:MEAS:MSET:SMU do?,explain_scpi
Create SCPI sequence for :PAGE:MEAS:MSET:SMU,generate_scpi
Explain :PAGE:DISP:GRAP:X:MAX,explain_scpi
Use :PAGE:DISP:GRAP:X:MAX in a test sequence,generate_scpi
What is the purpose of :COMPMAX?,explain_scpi
Generate a test sequence using :COMPMAX,generate_scpi
Explain :PAGE:STR:TRIG?,explain_scpi
Create SCPI sequence for :PAGE:STR:TRIG?,generate_scpi
Can you explain :ITEM:ANN?,explain_scpi
Generate a test sequence using :ITEM:ANN,generate_scpi
What does :PAGE:MEAS:SAMP:SCON:EVENT do?,explain_scpi
Make a voltage test with :PAGE:MEAS:SAMP:SCON:EVENT,generate_scpi
Can you explain :TANG:POS?,explain_scpi
Use :TANG:POS in a test sequence,generate_scpi

