2025-08-27 15:40:41.511607 ; AssemblyData   ; Debug       ; Loaded OpenTap. [1.12 ms]
2025-08-27 15:40:41.498604 ; PluginManager  ; Debug       ; Found version 9.28.2+504225fd  of OpenTap.Package.dll
2025-08-27 15:40:41.498604 ; PluginManager  ; Debug       ; Found version 9.28.2+504225fd  of OpenTap.Plugins.BasicSteps.dll
2025-08-27 15:40:41.498604 ; PluginManager  ; Debug       ; Found version 1.1.1+507fd903   of OpenTap.Tui.dll
2025-08-27 15:40:41.498604 ; PluginManager  ; Debug       ; Searched 19 Assemblies. [263 ms]
2025-08-27 15:40:41.662168 ; Session        ; Debug       ; Session log loaded as 'C:\Users\Rachel\OneDrive\Documents\GitHub\AI-Driven-Test-Plan-Generator(1)\AI-Driven-Test-Plan-Generator\KeysightGPT\bin\Debug\SessionLogs\SessionLog 2025-08-27 15-40-40.txt'. [47.9 ms]
2025-08-27 15:40:41.710988 ; tap            ; Information ; OpenTAP Command Line Interface (9.28.2+504225fd)
2025-08-27 15:40:41.710988 ; tap            ; Information ; Usage: "tap.exe <command> [<subcommand(s)>] [<args>]"
2025-08-27 15:40:41.710988 ; tap            ; Information ; Valid commands are:
2025-08-27 15:40:41.712989 ; tap            ; Information ; image              
2025-08-27 15:40:41.712989 ; tap            ; Information ;    install         Install the specified image, overwriting the existing installation.
2025-08-27 15:40:41.712989 ; tap            ; Information ; package            
2025-08-27 15:40:41.712989 ; tap            ; Information ;    create          Create a package based on an XML description file.
2025-08-27 15:40:41.712989 ; tap            ; Information ;    download        Download one or more packages.
2025-08-27 15:40:41.712989 ; tap            ; Information ;    install         Install one or more packages.
2025-08-27 15:40:41.712989 ; tap            ; Information ;    list            List locally installed packages and browse the online package repository.
2025-08-27 15:40:41.712989 ; tap            ; Information ;    show            Show information about a package.
2025-08-27 15:40:41.712989 ; tap            ; Information ;    test            Run tests on one or more packages.
2025-08-27 15:40:41.712989 ; tap            ; Information ;    uninstall       Uninstall one or more packages.
2025-08-27 15:40:41.712989 ; tap            ; Information ;    verify          Verify the integrity of one or all installed packages by checking their fingerprints.
2025-08-27 15:40:41.712989 ; tap            ; Information ; run                Run a test plan.
2025-08-27 15:40:41.712989 ; tap            ; Information ; sdk                
2025-08-27 15:40:41.712989 ; tap            ; Information ;    gitversion      Calculate the semantic version number for a specific git commit.
2025-08-27 15:40:41.712989 ; tap            ; Information ; tui                View, edit and run test plans using TUI.
2025-08-27 15:40:41.712989 ; tap            ; Information ; tui-pm             Open package manager using TUI. (Experimental)
2025-08-27 15:40:41.712989 ; tap            ; Information ; tui-results        Open TUI results viewer. (Experimental)
2025-08-27 15:40:41.712989 ; tap            ; Information ; Run "tap.exe <command> [<subcommand(s)>] -h" to get additional help for a specific command.
2025-08-27 15:40:41.738655 ; AssemblyData   ; Debug       ; Loaded mscorlib. [100 ns]
2025-08-27 15:40:41.995449 ; Installation   ; Debug       ; OpenTAP                        - 9.28.2+504225fd
2025-08-27 15:40:41.995449 ; Installation   ; Debug       ; TUI                            - 1.1.1+507fd903
2025-08-27 15:40:41.995449 ; Installation   ; Debug       ; Keysight Fixed License Manager - 1.6.2+d58f8a89
2025-08-27 15:40:41.995449 ; Installation   ; Debug       ; Keysight IO Libraries Suite    - 18.4.30319-beta.2.5+a2799c9d
2025-08-27 15:40:41.995449 ; Installation   ; Debug       ; PathWave License Manager       - 7.4.1+efeba870
